Z3700_Compressor_Screw_CapacityControl(ZI-Z37050/AI1.PV),Z3700_Compressor_Screw_CaseVibrationNDEMaleRotor(VI-V37050/AI1.PV),Z3700_Compressor_Screw_DischargePressure(PI-P37051/AI1.PV),Z3700_Compressor_Screw_DischargeTemperature(TI-T37051/AI1.PV),Z3700_Compressor_Screw_SuctionPressure(PI-P37050/AI1.PV),Z3700_Compressor_Screw_SuctionTemperature(TI-T37050/AI1.PV),Z3700_CoolingSystemCollection_CoolingFluidTemperatureCold(TI-T37130/AI1.PV),Z3700_CoolingSystemCollection_CoolingFluidTemperatureWarm(TI-T37131/AI1.PV),Z3700_CoolingSystemCollection_CoolingMassFlow(FI-F37130/AI1.PV),Z3700_CoolingSystemCollection_CoolingPressure(PI-P37130/AI1.PV),Z3700_HeatExchanger_InletTemperatureHot(TI-T37054/AI1.PV),Z3700_HeatExchanger_OutletTemperatureHot(TI-T37053/AI1.PV),Z3700_Motor_Current(II-37062/AI1.PV),Z3700_Motor_RadialBearingDETemperature1(TI-T37059/AI1.PV),Z3700_Motor_RadialBearingNDETemperature1(TI-T37060/AI1.PV),Z3700_Motor_StatorTemperatureA1(TI-T37056/AI1.PV),Z3700_Motor_StatorTemperatureB1(TI-T37057/AI1.PV),Z3700_Motor_StatorTemperatureC1(TI-T37058/AI1.PV),Z3700_OilSystem_OilPressure1(PI-P37054/AI1.PV),Z3700_OilSystem_OilPressure2(PI-P37053/AI1.PV),Z3700_OilSystem_OilTemperature(TI-T37055/AI1.PV),Z3700_Vessel_VesselLevel(LI-L37050-1/AI1.PV),OutsideTemperature
100,0.900000036,12.7000008,69.9,5.29,6.5,28.0179462,30.87663,1317.80774,4.99361038,15.3000059,10.6,21,59.8,41.8000031,75.8,74.2,74.8,16,11.2000008,50.3999939,53.2100029,26.29062462
100,0.900000036,12.7000008,68.4,5.2699995,6.5,28.0179462,30.5309181,1315.77087,4.99361038,15.5999956,10.7999983,21,59.6000023,42.1,75.5,74.1,74.6,16.2,11.2000008,51,52.3999977,26.04374886
84,0.8,12.3,70.1,5.56999969,6.699997,28.0179462,30.44032,1318.90637,4.99361038,14.9999981,10.9000025,16,59.3,41.6000023,75.4,73.7999954,74.5,15.6,10.8,49.9,52.079998,24.46875
92,1,12.2,65.4,5.6,7.499999,27.5601768,30.1637478,1324.52771,4.99361038,15.2000065,11.500001,17,58.4999962,40.7,74.6,73.1,73.7,15.4,10.5999994,49.4,53.3599968,24.515625
99,0.900000036,12.5,65.9,5.29,7.099998,27.173933,29.5891533,1313.46533,4.99361038,15.4000044,10.7999983,20,58,40.5,73.7999954,72.2999954,72.7999954,15.8000011,11,49.5,52.3999977,24.37812614
84,0.900000036,12,68.1,5.58,7.499999,27.0237274,29.91102,1324.50757,4.98526525,14.9999981,11.1999989,16,57.5,40.4,73.2,71.9,72.5,15.4,10.5,49.4,52.84,24.00312614
100,0.900000036,12.4,64,5.25,7.20000267,27.0237274,29.6988258,1322.136,4.98526525,15.4000044,11.1,21,57.2000046,40.2,73,71.6,72.5,15.8000011,10.9,49.1,53.7,24.09687424
95,0.900000036,12.4,67.9,5.2699995,6.400001,27.0237274,29.7417412,1307.11926,4.98526525,15.3000059,10.5000019,19,57,40.2,72.7999954,71.5,72.5,15.8000011,10.9,50,52.2,24.26250076
97,0.900000036,12.1,67.4,5.51,7.499999,27.0237274,29.8538,1319.53674,4.98526525,15.4000044,11.500001,18,57,40.3,72.7,71.3,72.5,15.5,10.5999994,49.9,53.3599968,24.77812386
100,0.8,12.4,67.2000046,5.25999975,6.199998,26.8878288,30.09699,1324.386,4.98526525,15.3000059,10.6,21,57,40.5,72.7,71.3,72.5,15.9,11,49.2999954,52.1099968,25.39687538
100,0.8,12.6,67.4,5.54,7.099998,26.8878288,29.9444027,1327.31934,4.98526525,15.4999971,11.500001,21,57.2000046,40.8,73,71.4,72.5,16,11.1,50.3000031,53.5000038,25.74374962
100,0.900000036,12.4,69.00001,5.35999966,6.400001,26.8878288,29.9897022,1316.0968,4.98526525,15.3000059,10.6,21,57.3000031,41.3,73.1,71.6,72.5,15.8000011,10.9,49.5,52.81,25.90625
100,0.8,12.6,67.2999954,5.2699995,6.5,26.8878288,30.206665,1323.4541,4.98526525,15.3000059,10.7999983,21,57.7,41.9,73.6,72.1,72.5,16,11.1,49.6999969,52.6000023,26.54062462
88,0.8,12.4,70.2000046,5.54,7.20000267,27.47673,30.6310558,1305.33276,4.98526525,15.3000059,11.1999989,17,58.1,42.3,74,72.6,72.5,15.7000008,10.9,50.5,51.82,26.47187424
100,0.8,12.7000008,69.9,5.27999973,6.5,27.47673,30.5619144,1323.8999,4.98526525,15.5999956,10.7999983,21,58.3,42.6,74.5,72.8999939,72.5,16.1,11.2000008,50.3999939,52.66,26.50625038
83,0.6999999,12.3,66.9,5.55,7.499999,27.47673,30.8098736,1307.91956,4.98526525,15.699995,11.1999989,16,58.4999962,42.8,75,73.5,72.5,15.7000008,10.8,50.6000061,53.44,26.703125
91,0.900000036,12.6,71.9,5.45,6.5,27.47673,30.7884121,1321.36475,4.98526525,16.1000023,10.5000019,18,58.9999962,43,75.3,73.7999954,72.5,15.9,11.1,51.3000031,51.45,27.01874924
100,1,12.8,70.1,5.39000034,7.099998,27.7914467,30.9481583,1324.16321,4.98526525,16.0000019,10.9000025,21,58.8999977,43.3999977,75.6,74.1,72.5,16.2,11.3,51.1999969,54.66,27.79687691
93,0.8,12.6,68.7000046,5.58,6.699997,27.7914467,31.0530624,1330.8916,4.98526525,16.0000019,10.6,18,59.3,43.8,76.2000046,74.6,72.5,15.9,11.1,51,51.42,28.38749886
