TI831061A,TI831061B,TI831060A,TI831060B,XSI831090,XSI831091,XSI831092,LSI831010,LSI831011,LSI831012,PZI831003,PZI831004,PZI831005,TI831001,FI821002,PI821019,TSI821017,TSI821018,TSI821019,PZI831006,PZI831007,PZI831008,TI831002,TI831063A,TI831063B,TI831062A,TI831062B,VSI831091A,VSI831091B,VSI831090A,VSI831090B,SZI831090,TI831064A,TI831064B,VSI831092B,VSI831093A,VSI831093B,TI831065A,TI831065B,PX8310_1_NM1/NUM1.PV,PSI831047,PSI831048,PSI831049,TSI831042,TSI831043,TSI831044,OutsideTemperature,VSI831092A
61.6000023,64.4,64.3,61.5,-0.019850016,-0.017775,-0.001049995,381.18,387.3665,387.509979,17.3484383,17.3746872,17.3748436,304.542816,130.24527,49.5963554,417.228119,417.568756,417.59375,4.65065,4.68105,4.6721,184.259262,82.6,83.8,87.1,76.3,16.415,20.18625,26.4324989,19.9037514,6172.082,83.9,82.7000046,5.3475,8.5625,8.735001,86.9,86.5,0,2.1057,2.091375,2.08555,46.65,46.4268761,46.6656227,32.41874695,5.8275
61.7,64.5,64.2000046,61.5,-0.021887481,-0.019812524,-0.003899992,367.665,373.831451,374.465,17.3484383,17.359375,17.364687,304.6875,130.6497,49.65278,417.8375,418.181244,418.103119,4.63115,4.66635,4.65575,184.490738,82.6,83.8,87,76.4,16.70125,20.0637512,26.59625,19.8625,6172.082,84,82.8,5.47,8.72625,8.89875,87.1,86.7000046,0,2.104075,2.08565,2.087175,46.65,46.40625,46.625,32.58124924,5.91
61.8,64.8,64.1,61.5,-0.02391249,-0.02184999,-0.005937517,357.565,362.419067,362.885,17.3382816,17.35422,17.364687,304.542816,130.730408,49.74682,417.8375,418.181244,418.206238,4.61975,4.66145,4.64765,184.722214,82.7000046,83.8,87.1,76.4,16.33375,20.51125,26.6775017,19.8625,6179.90332,84,82.8,5.26625,8.88875,9.02125,87.1,86.6,0,2.1057,2.08565,2.082275,46.6906242,46.4881248,46.70625,32.74062729,5.74624968
61.9,64.9,64.1,61.5,-0.025550008,-0.02266252,-0.007574975,345.195,349.053864,349.995,17.3484383,17.369688,17.3748436,304.6875,130.669067,49.6903954,418.040619,418.384369,418.309357,4.58555,4.6468,4.6346,184.722214,82.7000046,83.8,87.1,76.5,16.415,20.18625,26.51375,19.7799988,6176.765,84,82.8,5.43,8.72625,9.0625,87.1,86.7000046,0,2.10245,2.0873,2.082275,46.73125,46.52875,46.7268753,33.11874771,5.8275
62,65,64,61.5,-0.025950015,-0.023487508,-0.007974982,333.139984,337.316833,337.930023,17.3484383,17.359375,17.364687,304.832184,130.589981,49.76563,418.243744,418.5875,418.612518,4.65885,4.70385,4.6786,184.722214,82.8,83.8,87.2000046,76.5,16.33375,20.105,26.4324989,19.74,6175.22,84.1,82.9,5.51125,8.7675,8.98,87.2000046,86.7000046,0,2.104075,2.088925,2.0831,46.7718735,46.59,46.7881279,33.83124924,5.95125
62.1000023,65.3,64,61.5,-0.027575016,-0.025512517,-0.009199977,322.395,325.250183,324.39,17.3331261,17.359375,17.364687,304.6875,130.5913,49.6339722,418.040619,418.384369,418.309357,4.6214,4.65495,4.6509,184.606476,82.8,83.8,87,76.6,16.741251,20.7550011,26.8400021,20.27,6178.3584,84.1,82.9,5.43,8.8075,8.98,87.2000046,86.8,0,2.104075,2.08485,2.081475,46.8737526,46.65125,46.89,34.18437576,5.95125
62.2,65.4,64,61.5,-0.02798748,-0.026337504,-0.010012507,308.88,311.390533,310.525,17.328125,17.36453,17.364687,305.2662,130.796219,49.48351,418.446869,418.790649,418.715637,4.65065,4.6843,4.67695,184.837967,82.8,83.7000046,86.8,76.7000046,16.25125,20.34875,26.4324989,19.6575,6175.22,84,82.9,5.3475,8.5625,8.89875,87.2000046,86.8,0,2.10325,2.086475,2.082275,46.955,46.7331276,46.95125,34.984375,5.91
62.2,65.5,64,61.6000023,-0.028400004,-0.027149975,-0.010424972,297.48,297.700653,298.62,17.3484383,17.3746872,17.369688,305.2662,130.592667,49.5963554,418.65,418.996857,419.125,4.6344,4.67285,4.67045,185.069443,82.9,83.8,86.9,76.7000046,16.5775,20.43,26.59625,19.82125,6175.22,84.1,83,5.43,8.5625,8.89875,87.3,86.8,0,2.1057,2.084025,2.082275,46.9756241,46.77375,46.9918747,35.35000229,5.8275
62.3,65.6,64.1,61.6000023,-0.02798748,-0.02592498,-0.009612501,284.615,283.0219,284.1,17.328125,17.3492184,17.3492184,305.2662,130.249344,49.6339722,418.243744,418.5875,418.512482,4.6051,4.6419,4.63785,184.722214,83,83.8,87.1,76.7000046,16.7825,20.4712486,26.4324989,19.7799988,6176.765,84.1,83,5.51125,8.645,9.0625,87.3,86.8,0,2.09755,2.080775,2.07575,47.0568733,46.8956261,47.0943756,35.98749924,5.91
62.2,65.6,63.9,61.5,-0.029212475,-0.027562499,-0.011650026,273.87,270.960266,272.195,17.3331261,17.35422,17.3595314,304.6875,130.38028,49.57755,417.634369,417.975,418.0031,4.61,4.64025,4.63785,184.490738,82.9,83.8,87,76.7000046,16.5374985,20.43,26.75875,19.94375,6175.22,84,82.9,5.43,8.72625,8.98,87.2000046,86.8,0,2.1008,2.08565,2.0831,46.9756241,46.7331276,47.0125,34.85312653,5.7875
